b_no	b_name	b_price	b_date	b_type	b_x	b_y	a_no	b_count
1	불당호반베르디움더퍼스트	750000000	2024-03-20	0	397	206	2	0
2	불당마을대동다숲아파트	820000000	2024-03-22	0	268	827	1	0
3	불당마을동일하이빌아파트	421000000	2024-03-22	0	413	205	1	1
4	천안불당지웰더샵	1120000000	2024-03-31	0	364	835	2	0
5	불당트윈팰리스	421000000	2024-03-26	0	394	232	2	5
6	천안불당린스트라우스	754000000	2024-04-01	0	323	613	2	2
7	불당지구대원칸타빌아파트	456000000	2024-03-31	0	363	787	1	0
8	쌍용마을뜨란채아파트	584000000	2024-04-02	0	599	735	5	0
9	천안불당한화꿈에그린아파트	1100000000	2024-03-26	0	370	922	1	0
10	불당호반리젠시빌아파트	912000000	2024-03-24	0	760	574	1	1
11	천안불당호반써밋플레이스	1000000000	2024-03-24	0	193	779	2	0
12	불당팰리스	191000000	2024-03-28	0	196	466	1	0
13	파크밸리동일하이빌아파트	720000000	2024-04-03	0	422	668	5	0
14	용암마을동아벽산아파트	310000000	2024-04-02	0	735	905	1	2
15	불당지구한성필하우스아파트	230000000	2024-04-06	0	687	689	1	0
16	불당풍림아이원	120000000	2024-04-05	0	185	838	1	1
17	벽산태영아파트	210000000	2024-03-18	0	788	577	4	2
18	상록수현대아파트	420000000	2024-03-19	0	704	684	4	0
19	Y-시티아파트	920000000	2024-03-20	0	370	914	4	1
20	천안백석푸르지오아파트	853000000	2024-03-21	0	704	572	8	0
21	벽산블루밍아파트	199000000	2024-03-19	0	191	866	6	1
22	세광엔리치빌아파트	245000000	2024-03-20	0	845	531	7	0
23	천안백석아이파크아파트	254000000	2024-03-21	0	507	263	8	0
24	두정동주공아파트	250000000	2024-03-22	0	840	373	9	1
25	삼일원앙아파트	157000000	2024-03-21	0	52	343	9	0
26	천안시티자이아파트	987000000	2024-03-25	0	462	84	9	0
27	천안레이크타운푸르지오아파트	875000000	2024-03-24	0	638	50	9	2
28	천안e편한세상아파트	785000000	2024-03-26	0	200	905	3	1
29	천한백석중흥S클래스아파트	758000000	2024-03-29	0	502	826	8	0
30	천안시 아파트	195000000	2024-04-01	0	249	743	7	1
31	천안시 다세대주택	65000000	2024-04-05	1	197	524	3	1
32	천안시 남영주택	80000000	2024-04-19	1	777	602	5	0
33	천안하늘이주택	70000000	2024-04-23	1	879	760	4	0
34	천안시주택	65400000	2024-04-15	1	591	694	9	0
35	천안하늘주택	78500000	2024-04-04	1	635	81	6	1
36	푸르른주택	85400000	2024-04-05	1	775	680	4	0
37	해피늘주택	65000000	2024-04-15	1	640	81	6	4
38	천주택	78200000	2024-04-08	1	702	898	4	0
39	천안연립주택	78000000	2024-04-08	1	677	896	2	1
40	가랑주택	68700000	2024-04-09	1	492	982	4	2
41	정직주택	64800000	2024-04-25	1	647	989	1	5
42	지음주택	87400000	2024-03-20	1	585	653	2	2
43	안지주택	68700000	2024-03-25	1	720	567	4	0
44	늘푸른주택	78500000	2024-03-26	1	382	421	2	0
45	단독정한주택	60000000	2024-04-14	1	336	629	1	0
46	하늘단독주택	87500000	2024-03-29	1	370	926	1	0
47	정하람주택	68700000	2024-03-22	1	417	455	1	1
48	천안다세대주택	78400000	2024-04-30	1	283	806	1	5
49	천안별주택	67800000	2024-05-01	1	156	449	2	0
50	천안푸른하늘주택	88800000	2024-04-15	1	247	573	3	0
51	가람주택	78000000	2024-04-22	1	671	541	4	3
52	슬기연립주택	68000000	2024-04-01	1	806	525	8	2
53	편한다세대주택	78000000	2024-04-15	1	381	453	6	4
54	천안푸른주택	88700000	2024-03-19	1	691	734	4	1
55	하늘늘편한연립주택	67800000	2024-04-02	1	876	753	5	7
56	에스클래스 오피스텔	125000000	2024-04-14	2	539	676	4	0
57	동인에어빌 오피스텔	175000000	2024-03-29	2	580	163	9	8
58	골든타워 오피스텔	168700000	2024-03-29	2	54	579	1	0
59	스카이뷰 오피스텔	70000000	2024-03-28	2	386	283	2	0
60	메가트로피	175000000	2024-03-18	2	423	847	3	9
61	천안시 불당아리스타팰리스	120000000	2024-04-04	2	244	238	2	0
62	천안시 프라지움	126000000	2024-04-16	2	587	647	8	3
63	천안시오피스텔	110000000	2024-04-06	2	846	537	7	1
64	하늘뷰오피스텔	147000000	2024-04-03	2	515	476	9	0
65	타워팰리스 오피스텔	130000000	2024-04-01	2	643	395	6	0
66	한림타워	180000000	2024-03-31	2	645	898	5	0
67	현대썬앤빌 오피스텔	140000000	2024-03-22	2	604	733	4	0
68	천안빌	68000000	2024-03-28	2	220	678	3	1
69	청솔하이빌	78500000	2024-04-15	2	418	374	2	1
70	브라운힐	120000000	2024-04-01	2	59	554	1	2
71	하늘오피스텔	165000000	2024-04-22	2	748	765	1	5
72	정선오피스텔	87000000	2024-04-02	2	409	452	2	2
73	엠파크	78000000	2024-04-06	2	209	943	3	1
74	더힐스빌	68000000	2024-04-05	2	409	526	7	4
75	펜타폴리스오피스텔	89000000	2024-03-18	2	646	521	8	0
76	오피스아빌	125000000	2024-03-19	2	653	225	6	0
77	어발빌리움	160000000	2024-03-20	2	836	160	9	0
78	오피앙	124000000	2024-03-25	2	826	373	6	1
79	밀레니움	88000000	2024-03-19	2	606	518	5	5
80	한솔엠파트	170000000	2024-03-20	2	567	422	9	0
